record_id,study_id,publication_link,lnp_id,il_id,il_smiles,il_class,il_head_smiles,il_head_class,il_linker_smiles,il_linker_class,il_tail_count,il_tail1_id,il_tail1_smiles,il_tail1_class,il_tail2_id,il_tail2_smiles,il_tail2_class,il_tail3_id,il_tail3_smiles,il_tail3_class,il_tail4_id,il_tail4_smiles,il_tail4_class,il_tail5_id,il_tail5_smiles,il_tail5_class,il_tail6_id,il_tail6_smiles,il_tail6_class,il_architecture_type,helper_lipid_name,helper_lipid_smiles,helper_lipid_molratio,cholesterol_name,cholesterol_smiles,cholesterol_molratio,peg_lipid_name,peg_lipid_smiles,peg_lipid_molratio,peg_mw,il_molratio,il_to_nucleicacid_massratio,il_to_nucleicacid_chargeratio,total_lipid_to_cargo_ratio,total_flow_rate_ml_min,cargo_type,route_of_administration,model,model_type,model_target,particle_size_nm,pdi,zeta_potential_mv,zeta_potential_method,encapsulation_efficiency_percent,measured_pka,delivery_value,delivery_value_method,heavy_atoms,rings,aromatic_rings,rotatable_bonds,van_der_waals_molecular_volume,topological_polar_surface_area,hydrogen_bond_donors,hydrogen_bond_acceptors,logp,molar_refractivity,fraction_sp3_carbons,sp3_carbons,nitrogen_count,molecular_weight,has_ester,has_carbonate,has_disulfide,il_subclass,cellular_metabolic/uptake_%,GFP/MFI_transfection,protein_abundance_value,protein_abundance_value_method,mRNA_binding_efficiency_percent,editing_GFP-negative_cells_%,editing_Relative_FVII_EC50_mg_kg–1,uptake_Cy5-mLuc/LNPs_%,viability_IGROV-1_%,viability_MTT_0.5µg/mL,viability_MTT_5µg/mL,toxicity_CERA_μmol/L,toxicity_hemolysis_%,toxicity_UREA_μmol/L,toxicity_ALT_U/L,toxicity_AST_U/L,toxicity_BUN_mg/dL,delivery_relative_to_spikevax_value,il_head_architecture
LNPhub_R0000001,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000001,YX_TS1,CCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,MLG pulmonary cells,MLG pulmonary cells,,,,,,,,normalized_luminescence,68.0,0.0,0.0,57.0,1126.486042,105.61,1.0,18.0,16.2836,316.6618,0.94,47.0,2.0,1127.944,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000002,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000001,YX_TS1,CCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,10H,C=CC(=O)OCCSSSCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,A549,A549 pulmonary cells,,,,,,,,normalized_luminescence,68.0,0.0,0.0,57.0,1126.486042,105.61,1.0,18.0,16.2836,316.6618,0.94,47.0,2.0,1127.944,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000003,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000002,YX_TS2,CCCCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,MLG pulmonary cells,MLG pulmonary cells,,,,,,,-0.6096549032632554,normalized_luminescence,74.0,0.0,0.0,63.0,1210.579943,105.61,1.0,18.0,18.6242,344.3638,0.946429,53.0,2.0,1212.106,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000004,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000002,YX_TS2,CCCCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,12H,C=CC(=O)OCCSSSCCCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,A549,A549 pulmonary cells,,,,,,,0.5322574188064707,normalized_luminescence,74.0,0.0,0.0,63.0,1210.579943,105.61,1.0,18.0,18.6242,344.3638,0.946429,53.0,2.0,1212.106,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000005,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000003,YX_TS3,CCCCCCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,MLG pulmonary cells,MLG pulmonary cells,,,,,,,,normalized_luminescence,80.0,0.0,0.0,69.0,1294.673843,105.61,1.0,18.0,20.9648,372.0658,0.951613,59.0,2.0,1296.268,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000006,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000003,YX_TS3,CCCCCCCCCCCCCCSSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSCCCCCCCCCCCCCC)CCC(=O)OCCSSSCCCCCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,14H,C=CC(=O)OCCSSSCCCCCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,A549,A549 pulmonary cells,,,,,,,,normalized_luminescence,80.0,0.0,0.0,69.0,1294.673843,105.61,1.0,18.0,20.9648,372.0658,0.951613,59.0,2.0,1296.268,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000007,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000004,YX_TS4,CCCCCCCCC(CCCCCC)SSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSC(CCCCCC)CCCCCCCC)CCC(=O)OCCSSSC(CCCCCC)CCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,MLG pulmonary cells,MLG pulmonary cells,,,,,,,-0.6190047208950555,normalized_luminescence,83.0,0.0,0.0,69.0,1336.720793,105.61,1.0,18.0,22.1303,385.8508,0.953846,62.0,2.0,1338.349,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000008,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000004,YX_TS4,CCCCCCCCC(CCCCCC)SSSCCOC(=O)CCN(CCO)CCCN(CCC(=O)OCCSSSC(CCCCCC)CCCCCCCC)CCC(=O)OCCSSSC(CCCCCC)CCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,10B6,C=CC(=O)OCCSSSC(CCCCCC)CCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,A549,A549 pulmonary cells,,,,,,,-0.5986013776650975,normalized_luminescence,83.0,0.0,0.0,69.0,1336.720793,105.61,1.0,18.0,22.1303,385.8508,0.953846,62.0,2.0,1338.349,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000009,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000005,YX_TS5,CCCCCCCCCCSSSCC(C)OC(=O)CCN(CCO)CCCN(CCC(=O)OC(C)CSSSCCCCCCCCCC)CCC(=O)OC(C)CSSSCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,MLG pulmonary cells,MLG pulmonary cells,,,,,,,,normalized_luminescence,71.0,0.0,0.0,57.0,1168.532993,105.61,1.0,18.0,17.4491,330.4468,0.943396,50.0,2.0,1170.025,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
LNPhub_R0000010,LNPhub_YX_2025,https://doi.org/10.1038/s41587-025-02928-x,LNPhub_YX_2025_LNP_000005,YX_TS5,CCCCCCCCCCSSSCC(C)OC(=O)CCN(CCO)CCCN(CCC(=O)OC(C)CSSSCCCCCCCCCC)CCC(=O)OC(C)CSSSCCCCCCCCCC,multitailed lipidoid,NCCCNCCO,primary_secondary,CCC(=O)OCCSSS,ester/thioether,3,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,10M,C=CC(=O)OC(C)CSSSCCCCCCCCCC,alkyl/alkenyl thiol,,,,,,,,,,head–linker–multi-tail,DOPE,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC,30.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,40.0,DMG-PEG2000,,0.75,2000.0,20.0,10.0,,,,mRNA,in_vitro,in_vitro,A549,A549 pulmonary cells,,,,,,,1.4018089771287314,normalized_luminescence,71.0,0.0,0.0,57.0,1168.532993,105.61,1.0,18.0,17.4491,330.4468,0.943396,50.0,2.0,1170.025,True,False,True,biodegradable amino,,,,,,,,,,,,,,,,,,,linear
